CountryCode,Country
AUS,Australia
AUT,Austria
BEL,Belgium
BGR,Bulgaria
CAN,Canada
CHE,Switzerland
CHL,Chile
CZE,Czechia
DEUTNP,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRATNP,France
GBR_NIR,Northern Ireland
GBR_SCO,Scottland
GBRTENW,Wales & England
GRC,Greece
HRV,Croatia
HUN,Hungary
ISL,Iceland
ISR,Israel
ITA,Italy
KOR,Korea
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
NLD,Netherlands
NOR,Norway
NZL_NP,New Zealand
POL,Poland
PRT,Portugal
RUS,Russia
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
TWN,Taiwan
USA,United States
